set map mb cm regFn regDr
F1 1 2.01942 9.112 9.13917975632305 3.73
F1 1 2.051502 9.112 9.30695002414925 3.6
F1 1 2.071285 9.567 9.41027129004085 3.52
F1 1 2.071359 9.567 9.41064224987135 3.52
F1 1 2.091266 10.021 9.50305616635917 3.44
F1 1 2.127603 9.567 9.65098275745325 3.31
F1 1 2.133244 9.567 9.67337239850785 3.3
F1 1 2.14324 9.567 9.71284870963484 3.27
F1 1 2.158658 9.567 9.77351000999037 3.23
F1 1 2.169833 10.021 9.81754654347226 3.2
F1 1 2.193384 10.021 9.91145414740275 3.13
F1 1 2.201055 9.567 9.94243400341618 3.11
F1 1 2.201136 10.021 9.94276121304665 3.11
F1 1 2.271409 10.476 10.2260389366072 2.96
F1 1 2.285282 11.389 10.2814965815052 2.94
F1 1 2.327759 10.476 10.4493440659318 2.89
F1 1 2.355379 10.476 10.5563661877804 2.87
F1 1 2.379275 10.476 10.6472299774215 2.87
F1 1 2.379634 10.476 10.6485813463017 2.87
F1 1 2.404324 10.476 10.7404467205962 2.86
F1 1 2.423298 10.476 10.8094849722972 2.87
F1 1 2.461342 10.476 10.9432432209289 2.87
F1 1 2.485469 10.476 11.0256502994922 2.88
F1 1 2.51872 11.389 11.1378401352667 2.9
F1 1 2.589645 11.844 11.3675832384977 3.06
F1 1 2.66842 11.389 11.5979092469393 3.18
F1 1 2.673796 11.844 11.6123629698349 3.18
F1 1 2.682522 11.844 11.6354285442882 3.2
F1 1 2.697133 11.844 11.6721002838317 3.22
F1 1 2.708568 11.844 11.6987919723739 3.24
F1 1 2.741771 11.844 11.7677658166386 3.29
F1 1 2.897368 12.298 12.0202055174135 3.34
F1 1 2.948071 12.298 12.119109905985 3.32
F1 1 2.955869 12.298 12.1366786187059 3.32
F1 1 2.983828 12.298 12.1978459134395 3.31
F1 1 3.008417 11.389 12.247284572331 3.3
F1 1 3.011211 12.298 12.2526987081183 3.3
F1 1 3.018666 12.298 12.266975813983 3.29
F1 1 3.034302 12.298 12.2962420263 3.28
F1 1 3.092416 12.298 12.4014374569672 3.26
F1 1 3.095272 12.298 12.4066334204999 3.26
F1 1 3.105805 12.298 12.42594710309 3.26
F1 1 3.21575 12.753 12.6627189137739 3.31
F1 1 3.215796 12.753 12.6628392525982 3.31
F1 1 3.238763 12.753 12.7260484031207 3.32
F1 1 3.28896 12.753 12.8784701295261 3.34
F1 1 3.295663 12.753 12.8997041702263 3.35
F1 1 3.316043 12.753 12.9651542936691 3.37
F1 1 3.323698 12.753 12.9900168335416 3.37
F1 1 3.334226 12.753 13.0243924502887 3.38
F1 1 3.336885 12.753 13.0331012410158 3.39
F1 1 3.355382 12.753 13.0961926988107 3.41
F1 1 3.35984 13.207 13.1120633056469 3.42
F1 1 3.429402 13.207 13.377657917935 3.54
F1 1 3.434071 13.662 13.3958057056702 3.55
F1 1 3.444316 13.662 13.4353482900896 3.57
F1 1 3.462419 14.117 13.503734125726 3.61
F1 1 3.470367 14.117 13.5333009982076 3.63
F1 1 3.616372 14.117 14.103707658996 3.87
F1 1 3.628034 14.117 14.1510187969469 3.89
F1 1 3.628172 14.117 14.1515797896215 3.89
F1 1 3.631765 14.117 14.1661950306044 3.89
F1 1 3.653008 14.117 14.2529427644029 3.92
F1 1 3.676141 14.571 14.3479878366603 3.95
F1 1 3.74949 14.571 14.6520340048383 4.07
F1 1 3.894876 15.484 15.2546253919449 4.3
F1 1 3.898253 15.484 15.2684455560242 4.31
F1 1 3.933731 15.484 15.412752172216 4.36
F1 1 3.982054 15.939 15.5893329972927 4.43
F1 1 4.000726 15.939 15.6539156341329 4.45
F1 1 4.008728 15.939 15.6821939606705 4.47
F1 1 4.030346 15.939 15.7627565793223 4.5
F1 1 4.045 15.939 15.8226242177504 4.52
F1 1 4.052555 15.939 15.8557111836121 4.54
F1 1 4.063094 15.939 15.9025533899885 4.55
F1 1 4.065945 15.939 15.9150947670158 4.56
F1 1 4.077978 15.939 15.9677934002157 4.58
F1 1 4.110062 15.939 16.1119716673547 4.63
F1 1 4.113637 15.939 16.128871354876 4.63
F1 1 4.116673 15.939 16.1434188819176 4.64
F1 1 4.144518 15.939 16.2764282486854 4.68
F1 1 4.147905 15.939 16.2924774950189 4.69
F1 1 4.157207 16.393 16.3364763873404 4.7
F1 1 4.179916 17.303 16.4437638306866 4.73
F1 1 4.189213 16.393 16.4878050980089 4.74
F1 1 4.214768 16.393 16.6099260742696 4.77
F1 1 4.243177 16.393 16.7488581503825 4.8
F1 1 4.275927 16.393 16.9155688313389 4.81
F1 1 4.283183 16.848 16.9537288802219 4.81
F1 1 4.296966 16.393 17.0276538233991 4.81
F1 1 4.307654 16.393 17.08639129864 4.81
F1 1 4.369373 18.216 17.4767197436247 4.76
F1 1 4.38688 18.216 17.6008938919902 4.74
F1 1 4.423626 18.216 17.8728952521752 4.7
F1 1 4.521627 18.67 18.60430550864 4.73
F1 1 4.564646 18.67 18.8909398425608 4.81
F1 1 4.582607 18.67 18.9983944583257 4.84
F1 1 4.629151 19.584 19.2609234785443 4.94
F1 1 4.639769 19.584 19.3196588890578 4.96
F1 1 4.677961 19.584 19.528414567826 5.04
F1 1 4.686161 19.584 19.5728495783037 5.06
F1 1 4.730452 20.038 19.8117299610821 5.16
F1 1 4.730561 20.038 19.8123169808 5.16
F1 1 4.749377 20.038 19.9122205952694 5.23
F1 1 4.767871 20.493 20.0078615883521 5.3
F1 1 4.831525 20.493 20.3225046738282 5.59
F1 1 4.866235 20.493 20.4882144493475 5.74
F1 1 4.886102 20.493 20.5823670725693 5.82
F1 1 4.89148 20.493 20.6078412926498 5.84
F1 1 4.915176 20.947 20.7203246404512 5.92
F1 1 4.916845 20.493 20.7282739549833 5.93
F1 1 4.925957 20.493 20.7717664330574 5.96
F1 1 4.926104 20.493 20.7724694989964 5.96
F1 1 4.96282 20.493 20.9500522411835 6.1
F1 1 4.987633 20.493 21.0726787363339 6.2
F1 1 5.020549 20.947 21.2377230793921 6.34
F1 1 5.028494 21.402 21.2778407155389 6.37
F1 1 5.087539 21.856 21.5770889975196 6.59
F1 1 5.252132 22.77 22.3716609774004 7.07
F1 1 5.255592 22.77 22.3869655326996 7.08
F1 1 5.432229 23.224 22.7813465946877 7.18
F1 1 5.455939 23.224 22.8519357280606 7.21
F1 1 5.491916 23.224 23.0076820376421 7.26
F1 1 5.500826 26.419 23.0575102665334 7.27
F1 1 5.51415 23.224 23.141742721823 7.29
F1 1 5.516291 23.224 23.1564287922249 7.29
F1 1 5.516563 23.224 23.158316348646 7.29
F1 1 5.519049 23.224 23.1756435940087 7.3
F1 1 5.519142 23.224 23.176294414348 7.3
F1 1 5.51948 23.679 23.1786613350033 7.3
F1 1 5.521281 23.224 23.1913145335963 7.3
F1 1 5.594536 23.224 23.7494840753006 7.47
F1 1 5.599355 23.224 23.7880610900994 7.48
F1 1 5.601636 23.224 23.8063524877173 7.49
F1 1 5.609352 23.224 23.8683350569877 7.51
F1 1 5.624118 23.224 23.9871080284204 7.55
F1 1 5.636285 23.224 24.0847086233301 7.59
F1 1 5.641047 23.224 24.1229698416594 7.6
F1 1 5.641123 23.224 24.1235831710784 7.6
F1 1 5.646609 23.224 24.1680768386071 7.62
F1 1 5.691219 24.588 24.5451826143396 7.76
F1 1 5.695213 24.133 24.5801918688606 7.77
F1 1 5.720383 24.133 24.8051052393242 7.86
F1 1 5.72154 24.133 24.8156715052986 7.86
F1 1 5.727426 25.042 24.8713639112521 7.88
F1 1 5.740959 25.042 25.0107832957369 7.93
F1 1 5.768538 25.042 25.3349279643899 8.04
F1 1 5.775119 25.042 25.4183918211675 8.06
F1 1 5.890659 32.803 26.9090534280938 8.52
F1 1 5.91183 27.332 27.1395095449914 8.6
F1 1 6.017058 27.786 28.3590941258661 8.96
F1 1 6.053634 29.163 28.7950941205636 9.08
F1 1 6.106893 29.163 29.4225410223949 9.26
F1 1 6.137996 30.072 29.7785829352745 9.36
F1 1 6.143845 30.526 29.8442942378393 9.38
F1 1 6.176211 30.072 30.1990928859572 9.48
F1 1 6.182944 29.617 30.2707876340362 9.5
F1 1 6.197889 30.072 30.4269771950428 9.55
F1 1 6.208746 31.435 30.5377122349546 9.58
F1 1 6.224847 30.981 30.6973395368873 9.63
F1 1 6.225474 30.981 30.7034306185963 9.64
F1 1 6.228619 30.981 30.7336013051377 9.65
F1 1 6.320921 30.981 31.4307329878868 9.99
F1 1 6.410964 31.89 32.1025249927714 10.4
F1 1 6.411071 31.435 32.1035164893511 10.4
F1 1 6.41191 31.89 32.111314957669 10.4
F1 1 6.427052 31.89 32.254105837306 10.46
F1 1 6.449976 32.803 32.4763239130769 10.55
F1 1 6.460827 32.803 32.5838972077858 10.59
F1 1 6.64827 33.716 34.6152275787071 10.87
F1 1 6.666806 35.08 34.8269339096667 10.88
F1 1 6.671033 35.08 34.8753151844621 10.88
F1 1 6.671143 35.08 34.8765747983571 10.88
F1 1 6.67317 35.535 34.8998462805171 10.88
F1 1 6.674881 35.08 34.919577816552 10.88
F1 1 6.675073 35.08 34.9217969618791 10.88
F1 1 6.693632 35.08 35.1407572971674 10.89
F1 1 6.709973 35.08 35.3400665212638 10.89
F1 1 6.735873 35.535 35.6658650789096 10.89
F1 1 6.756451 35.989 35.9310210485947 10.87
F1 1 6.824204 36.444 36.8167403570594 10.74
F1 1 6.862434 37.807 37.3050427768441 10.66
F1 1 6.898397 37.807 37.7420175311392 10.61
F1 1 6.936124 38.262 38.1885254008987 10.56
F1 1 6.992945 38.262 38.8650673323795 10.47
F1 1 7.006107 38.717 39.0207506195608 10.45
F1 1 7.006194 38.262 39.0217769819655 10.45
F1 1 7.036393 40.084 39.3752136641843 10.4
F1 1 7.040715 40.084 39.4252452736843 10.39
F1 1 7.040737 40.084 39.425499539958 10.39
F1 1 7.041301 40.084 39.4320193550482 10.39
F1 1 7.049111 39.63 39.5225328528722 10.37
F1 1 7.066196 40.084 39.72129858977 10.34
F1 1 7.074096 40.539 39.8131187875196 10.33
F1 1 7.090367 40.539 40.0009538963419 10.3
F1 1 7.096053 40.539 40.0660896352274 10.29
F1 1 7.104014 39.63 40.1571155880388 10.27
F1 1 7.133151 40.539 40.4885937117482 10.22
F1 1 7.1632 40.993 40.8277628061852 10.18
F1 1 7.200473 41.448 41.2448243468665 10.12
F1 1 7.228421 40.993 41.5549975636898 10.09
F1 1 7.288152 41.903 42.2109684343828 10.08
F1 1 7.29174 41.903 42.2500833110741 10.08
F1 1 7.305286 42.357 42.3974714696833 10.08
F1 1 7.313265 42.357 42.4840793759814 10.09
F1 1 7.320116 42.357 42.5583219828662 10.09
F1 1 13.765713 60.686 60.5945166240376 0
F1 1 13.892777 59.773 60.4517666672757 0
F1 1 13.976105 60.686 60.3592174148632 0.05
F1 1 14.091721 60.686 60.232945724024 0.47
F1 1 14.110651 60.686 60.2125626748569 0.55
F1 1 14.224199 60.686 60.0923898300182 1.08
F1 1 14.298706 60.686 60.0357419307367 1.51
F1 1 14.324865 60.686 60.0262769970925 1.68
F1 1 14.38509 60.686 60.0266600735033 2.11
F1 1 14.462345 60.686 60.0757012973256 2.75
F1 1 14.463325 60.686 60.0766939077104 2.76
F1 1 14.526308 60.686 60.1610295249248 3.4
F1 1 14.643806 60.686 60.3521682683283 4.69
F1 1 14.65337 60.686 60.3691463038096 4.81
F1 1 14.736264 60.686 60.5444760117143 5.79
F1 1 14.765827 60.686 60.6240727278467 6.14
F1 1 14.773873 60.686 60.6477252045247 6.24
F1 1 14.776894 60.686 60.6568418984948 6.27
F1 1 14.78355 60.686 60.6773964772002 6.36
F1 1 14.802362 60.686 60.7391365826125 6.59
F1 1 14.872911 61.141 61.025885016717 7.43
F1 1 14.872983 61.141 61.0262276237648 7.43
F1 1 14.876745 61.141 61.0442833786519 7.47
F1 1 14.885024 61.141 61.0845033929618 7.56
F1 1 14.902957 61.141 61.1727625223451 7.77
F1 1 15.064713 62.054 62.0890912230265 9.44
F1 1 15.129197 61.141 62.5471923146038 10.03
F1 1 15.358711 64.846 64.8871687840341 11.95
F1 1 15.44613 65.3 66.1660476315376 12.69
F1 1 15.461433 66.213 66.4240938717947 12.83
F1 1 15.475457 66.668 66.6774748149315 12.97
F1 1 15.479921 66.668 66.7607201256476 13.01
F1 1 15.482183 66.668 66.8032893108066 13.03
F1 1 15.485108 67.123 66.8586796585564 13.06
F1 1 15.544613 68.49 68.0007724334735 13.64
F1 1 15.545369 68.49 68.0146854958286 13.65
F1 1 15.559134 68.49 68.2761413236251 13.79
F1 1 15.596265 68.945 69.0461956488272 14.15
F1 1 15.597832 68.945 69.0803776547434 14.17
F1 1 15.59794 68.945 69.0827376842004 14.17
F1 1 15.647696 68.945 70.2111674778373 14.66
F1 1 15.651234 68.945 70.293286259241 14.69
F1 1 15.678555 69.858 70.9273992058949 14.95
F1 1 15.709352 70.771 71.6284635731862 15.24
F1 1 15.733498 72.615 72.1544217772633 15.46
F1 1 15.736539 72.615 72.218590718028 15.49
F1 1 15.793928 73.528 73.5368671436022 15.99
F1 1 15.797642 73.528 73.6261094525127 16.03
F1 1 15.829609 74.441 74.3848355932929 16.29
F1 1 15.847778 74.896 74.7951004156949 16.43
F1 1 15.854076 74.896 74.9313777121625 16.48
F1 1 15.857062 74.896 74.9947127566262 16.51
F1 1 15.88703 75.351 75.6311508956619 16.73
F1 1 15.899015 75.805 75.887137409495 16.82
F1 1 15.899079 76.26 75.8885044300402 16.82
F1 1 15.9027 75.805 75.965834657466 16.85
F1 1 15.94009 77.636 76.7585678064561 17.11
F1 1 16.000909 79.012 77.9845353980738 17.53
F1 1 16.045943 79.921 78.8171129758733 17.81
F1 1 16.067378 79.921 79.1963416798543 17.94
F1 1 16.083186 79.921 79.4702843808793 18.03
F1 1 16.110622 79.921 79.9362630936877 18.18
F1 1 16.11164 79.921 79.9533566218318 18.18
F1 1 16.12422 79.921 80.1636217188755 18.25
F1 1 16.125734 79.921 80.1888149212654 18.26
F1 1 16.178916 80.376 81.0637961007576 18.51
F1 1 16.216009 82.219 81.6709321305676 18.66
F1 1 16.238174 82.219 82.0365054204179 18.74
F1 1 16.25655 82.674 82.3427314438589 18.8
F1 1 16.293909 84.972 82.9426811280679 18.91
F1 1 16.411564 84.517 84.7920335649743 19.06
F1 1 16.41183 84.517 84.7966681624475 19.06
F1 1 16.443551 84.972 85.3803077556765 19.06
F1 1 16.447546 84.517 85.458716083073 19.05
F1 1 16.452036 84.517 85.5483131879125 19.05
F1 1 16.473323 84.517 85.9811327171182 19.02
F1 1 16.479297 84.517 86.1040128877562 19.01
F1 1 16.503874 85.426 86.6150336052574 18.95
F1 1 16.582004 86.794 88.2753200468605 18.72
F1 1 16.603115 87.708 88.7264471603603 18.64
F1 1 16.614426 88.162 88.9675284219194 18.58
F1 1 16.857372 96.168 93.9707434348418 17.2
F1 1 16.873584 97.077 94.2915214204298 17.03
F1 1 16.960948 97.99 95.9886632678287 16.11
F1 1 16.964258 98.444 96.0518858354187 16.08
F1 1 17.070489 100.288 98.0367565470693 15.08
F1 1 17.178374 102.132 99.9595405564494 14.18
F1 1 17.25483 103.045 101.261149765885 13.55
F1 1 17.360699 104.888 102.9740362981 12.72
F1 1 17.624772 107.204 106.74807609913 10.11
F1 1 17.690019 107.204 107.561120196303 9.42
F1 1 17.870861 107.658 109.543405667615 7.59
F1 2 0.134145 0 1.01817400187362 3.21
F1 2 0.331629 2.315 2.37047647119235 4.1
F1 2 0.339703 2.315 2.4249820886554 4.13
F1 2 0.350729 2.315 2.49917720301083 4.18
F1 2 0.359247 2.77 2.55629294019705 4.22
F1 2 0.505816 5.085 3.54074488883009 4.82
F1 2 0.566335 5.085 3.94990267071991 5.05
F1 2 0.610203 5.085 4.24780477333941 5.2
F1 2 0.640796 5.085 4.45630547807715 5.3
F1 2 0.799425 5.085 5.5085161558072 5.81
F1 2 0.822383 5.085 5.66087965210018 5.87
F1 2 0.886186 5.539 6.09365948971201 6.05
F1 2 0.893155 5.539 6.14207754922913 6.07
F1 2 0.896 5.539 6.16181491226581 6.07
F1 2 0.896115 5.539 6.16260922947641 6.07
F1 2 0.909025 6.453 6.25016370588 6.11
F1 2 1.074459 7.362 7.3131924567928 6.47
F1 2 1.18883 9.205 8.31332890986282 6.68
F1 2 1.19235 9.205 8.34701214505735 6.68
F1 2 1.322213 9.205 9.5228110566759 6.44
F1 2 1.3223 9.205 9.52348901344071 6.44
F1 2 1.326053 9.205 9.5528935236557 6.43
F1 2 1.381792 9.205 10.0178180579781 6.33
F1 2 1.459541 10.119 10.6797549993084 6.15
F1 2 1.489436 11.032 10.9107975705716 6.06
F1 2 1.504123 11.032 11.0211441954514 6.02
F1 2 1.530136 11.032 11.222524050247 5.93
F1 2 1.542432 11.486 11.3166127067558 5.88
F1 2 1.562692 11.941 11.4643076719855 5.81
F1 2 1.562788 11.941 11.4649764530449 5.81
F1 2 1.566633 11.941 11.4918566075541 5.8
F1 2 1.582247 11.941 11.6018410043754 5.74
F1 2 1.599245 11.941 11.7194843822108 5.68
F1 2 1.661718 12.395 12.1379362407353 5.46
F1 2 1.691573 12.395 12.3339828320615 5.37
F1 2 1.765133 12.85 12.7998606062689 5.18
F1 2 1.787319 12.85 12.9342406509407 5.13
F1 2 1.847397 12.85 13.2800058383059 5
F1 2 1.934731 13.305 13.7310733729913 4.83
F1 2 1.970584 14.214 13.8999184835985 4.78
F1 2 2.081878 14.668 14.3714776032782 4.71
F1 2 2.404241 14.668 15.4251456586919 4.83
F1 2 2.4471 16.036 15.515867364741 4.86
F1 2 2.51953 16.036 15.5609490089466 4.85
F1 2 2.711661 16.036 15.5502409989349 4.65
F1 2 2.743555 16.036 15.6017950233698 4.59
F1 2 2.958551 16.036 16.1552709744242 4.54
F1 2 2.963123 16.036 16.1735160967328 4.55
F1 2 2.97757 16.491 16.2341785008866 4.59
F1 2 2.97933 16.491 16.2418925465523 4.59
F1 2 2.981466 16.491 16.251303716116 4.6
F1 2 2.999807 16.491 16.3329501372739 4.66
F1 2 3.029849 16.491 16.4737684876172 4.77
F1 2 3.043613 16.491 16.5431873296819 4.82
F1 2 3.066081 16.491 16.6779566784778 4.91
F1 2 3.074208 16.491 16.7341418365409 4.95
F1 2 3.085082 16.491 16.8137623708261 4.99
F1 2 3.14848 16.945 17.3006521414709 5.3
F1 2 3.148557 16.945 17.3011939769166 5.3
F1 2 3.155469 16.945 17.352845835843 5.33
F1 2 3.183276 16.945 17.5824561651591 5.49
F1 2 3.184622 16.945 17.5928391683776 5.5
F1 2 3.194624 17.4 17.6727334780027 5.55
F1 2 3.216926 18.776 17.8726000219048 5.67
F1 2 3.233845 18.776 18.0399619604645 5.75
F1 2 3.344731 19.23 19.1947982436558 6.39
F1 2 3.363999 19.685 19.390412060541 6.49
F1 2 3.408845 20.14 19.9230188097086 6.7
F1 2 3.43463 20.14 20.1962010735382 6.8
F1 2 3.439391 20.14 20.2385100939796 6.82
F1 2 3.441334 20.14 20.2548363439072 6.83
F1 2 3.451153 20.14 20.3348401416346 6.88
F1 2 3.504681 20.594 20.7401371420597 7.11
F1 2 3.511325 20.594 20.7876455578134 7.14
F1 2 3.525791 21.049 20.8896315450201 7.21
F1 2 3.532888 21.503 20.9377005159569 7.25
F1 2 3.588277 21.503 21.2339372220539 7.53
F1 2 3.658828 21.503 21.5561688127721 7.88
F1 2 3.661368 21.503 21.569595258773 7.9
F1 2 3.673921 21.503 21.6310915751708 7.96
F1 2 3.68244 21.958 21.667116946866 8
F1 2 3.845601 21.958 22.1689247255237 8.74
F1 2 3.85714 22.412 22.2411574248958 8.79
F1 2 3.877546 22.412 22.3733524753239 8.87
F1 2 3.882121 22.412 22.4019702788643 8.89
F1 2 3.884385 22.412 22.4160637067105 8.89
F1 2 3.968875 22.867 23.0202595509571 9.14
F1 2 3.970767 22.867 23.0379392657591 9.14
F1 2 4.014547 23.321 23.5129590196767 9.23
F1 2 4.072758 23.321 24.2160414098485 9.22
F1 2 4.079421 24.23 24.2922614799373 9.21
F1 2 4.11301 24.685 24.7493345639968 9.15
F1 2 4.126287 24.685 24.9298024000211 9.13
F1 2 4.126349 24.685 24.9305873677462 9.13
F1 2 4.130604 24.685 24.9826970570459 9.13
F1 2 4.189658 26.061 25.8135797137164 9.11
F1 2 4.190501 26.061 25.826001395174 9.11
F1 2 4.215378 26.516 26.1750955511443 9.11
F1 2 4.218802 26.516 26.2192183588954 9.12
F1 2 4.300576 27.429 27.3914215617104 9.13
F1 2 4.304855 27.429 27.455637586239 9.13
F1 2 4.31116 27.429 27.5499111981421 9.14
F1 2 4.325455 27.884 27.7610885787182 9.16
F1 2 4.372337 29.26 28.4014132598519 9.29
F1 2 4.495061 29.714 29.696829595281 9.8
F1 2 4.53849 29.714 30.10659932073 10.04
F1 2 4.551553 30.169 30.2314747107115 10.11
F1 2 4.58683 30.169 30.580254403782 10.35
F1 2 4.64107 31.545 31.1127841651431 10.71
F1 2 4.667272 31.545 31.3694841270262 10.88
F1 2 4.670538 31.545 31.4021549246279 10.9
F1 2 4.676565 31.545 31.463009567736 10.94
F1 2 4.703827 32 31.745697310198 11.14
F1 2 4.704604 32 31.7538387347446 11.14
F1 2 4.724184 32 31.9580374712937 11.29
F1 2 4.729945 32 32.0172631047587 11.33
F1 2 4.742446 32 32.1496951686062 11.43
F1 2 4.74263 32 32.1517059715739 11.43
F1 2 4.744711 32 32.1745559636346 11.45
F1 2 4.826759 32.454 33.0996373532907 12.08
F1 2 4.838951 32.909 33.2236363956397 12.16
F1 2 4.865594 32.909 33.5039923247612 12.29
F1 2 4.872063 33.363 33.572135054924 12.32
F1 2 4.911411 34.272 33.962032678952 12.49
F1 2 4.914689 34.272 33.9917618484765 12.51
F1 2 4.922191 34.727 34.0606668038201 12.54
F1 2 4.965132 34.727 34.4475424489893 12.69
F1 2 4.966992 34.727 34.462858344979 12.7
F1 2 4.990517 34.727 34.6676621816999 12.73
F1 2 5.007931 34.727 34.8175655508586 12.73
F1 2 5.008435 34.727 34.8216565038019 12.73
F1 2 5.015208 34.727 34.8745464279515 12.74
F1 2 5.052155 35.182 35.0830363407262 12.79
F1 2 5.053857 35.182 35.0902209759245 12.79
F1 2 5.127045 35.636 35.4080999232862 12.92
F1 2 5.134286 35.636 35.4569279850247 12.94
F1 2 5.141536 35.636 35.5121155926271 12.96
F1 2 5.181743 35.636 35.8019928359876 13.04
F1 2 5.203206 35.636 35.9708011544254 13.08
F1 2 5.214987 35.636 36.0827109872373 13.12
F1 2 5.216437 35.636 36.0977769425662 13.12
F1 2 5.231752 36.091 36.2575027085484 13.18
F1 2 5.317413 37.004 37.2208784887288 13.49
F1 2 5.336212 37.004 37.4774792227321 13.55
F1 2 5.336299 37.459 37.4787259416738 13.55
F1 2 5.391704 38.826 38.4049888890616 13.82
F1 2 5.399313 38.826 38.5460551889309 13.87
F1 2 5.471999 39.74 39.884644576309 14.27
F1 2 5.477048 39.74 39.9695104625539 14.29
F1 2 5.486189 40.194 40.1239694522977 14.34
F1 2 5.490929 40.194 40.2058157614596 14.36
F1 2 5.504143 40.649 40.4383844912802 14.42
F1 2 5.541391 41.562 41.0978404823502 14.6
F1 2 5.548902 41.562 41.228841177618 14.63
F1 2 5.575723 42.017 41.7158273680981 14.74
F1 2 5.582364 42.017 41.8387677539472 14.76
F1 2 5.61744 42.471 42.4786210961516 14.89
F1 2 5.689126 43.38 43.7547147963539 15.05
F1 2 5.691688 43.38 43.800294159795 15.06
F1 2 5.726669 44.289 44.4180703225279 15.08
F1 2 5.731661 44.289 44.5052802724483 15.08
F1 2 5.735642 44.289 44.5752006208441 15.08
F1 2 5.744557 44.744 44.7349798780742 15.08
F1 2 5.812369 46.12 45.9921368382703 14.98
F1 2 5.826031 46.575 46.2296660746404 14.96
F1 2 5.842131 46.575 46.4971306319367 14.93
F1 2 5.911915 47.951 47.5783494486372 14.72
F1 2 5.916194 47.951 47.642527523389 14.7
F1 2 5.922973 47.951 47.7441261967889 14.68
F1 2 5.956108 48.405 48.2435090549794 14.54
F1 2 6.002184 48.86 48.8345203946959 14.39
F1 2 6.029315 49.314 49.1813676634379 14.34
F1 2 6.033421 49.769 49.2407813574838 14.34
